Dataset,Preprocesado,Modelo,Accuracy,Precision,Recall,F1-Score
salinas,none,PLS-DA,72.98,74.89,72.98,65.26
salinas,none,RF,94.95,94.94,94.95,94.9
salinas,none,SVM,90.72,91.08,90.72,90.24
salinas,none,k-NN,92.28,92.19,92.28,92.19
salinas,minmax,PLS-DA,76.67,76.9,76.67,72.12
salinas,minmax,RF,94.9,94.92,94.9,94.83
salinas,minmax,SVM,89.98,90.18,89.98,89.53
salinas,minmax,k-NN,92.84,92.78,92.84,92.79
salinas,snv,PLS-DA,80.3,80.74,80.3,76.03
salinas,snv,RF,95.17,95.16,95.17,95.12
salinas,snv,SVM,89.78,90.05,89.78,89.29
salinas,snv,k-NN,92.87,92.8,92.87,92.81
salinas,derivative,PLS-DA,74.23,76.48,74.23,67.49
salinas,derivative,RF,93.71,93.81,93.71,93.58
salinas,derivative,SVM,91.34,91.58,91.34,90.96
salinas,derivative,k-NN,90.49,90.35,90.49,90.37
pavia_university,none,PLS-DA,76.08,73.36,76.08,71.57
pavia_university,none,RF,92.85,92.85,92.85,92.75
pavia_university,none,SVM,94.16,94.17,94.16,94.11
pavia_university,none,k-NN,90.19,90.26,90.19,89.99
pavia_university,minmax,PLS-DA,72.85,72.56,72.85,67.05
pavia_university,minmax,RF,88.94,89.09,88.94,88.57
pavia_university,minmax,SVM,88.96,89.07,88.96,88.49
pavia_university,minmax,k-NN,84.87,84.83,84.87,84.32
pavia_university,snv,PLS-DA,71.3,63.92,71.3,65.39
pavia_university,snv,RF,91.05,91.1,91.05,90.86
pavia_university,snv,SVM,88.89,89.05,88.89,88.36
pavia_university,snv,k-NN,82.4,82.67,82.4,81.85
pavia_university,derivative,PLS-DA,75.28,72.31,75.28,70.51
pavia_university,derivative,RF,87.95,88.41,87.95,87.21
pavia_university,derivative,SVM,92.99,93.02,92.99,92.95
pavia_university,derivative,k-NN,81.52,81.37,81.52,80.9
indian_pines,none,PLS-DA,62.5,65.23,62.5,56.04
indian_pines,none,RF,86.83,86.9,86.83,86.54
indian_pines,none,SVM,72.23,73.42,72.23,70.29
indian_pines,none,k-NN,76.75,76.65,76.75,76.05
indian_pines,minmax,PLS-DA,60.2,61.09,60.2,54.13
indian_pines,minmax,RF,86.21,86.17,86.21,85.99
indian_pines,minmax,SVM,71.64,72.21,71.64,69.52
indian_pines,minmax,k-NN,77.11,77.09,77.11,76.62
indian_pines,snv,PLS-DA,64.52,64.82,64.52,59.59
indian_pines,snv,RF,89.07,89.15,89.07,88.93
indian_pines,snv,SVM,66.05,67.94,66.05,62.93
indian_pines,snv,k-NN,77.98,78.04,77.98,77.33
indian_pines,derivative,PLS-DA,60.65,63.49,60.65,55.29
indian_pines,derivative,RF,78.8,80.47,78.8,77.92
indian_pines,derivative,SVM,70.11,72.4,70.11,68.24
indian_pines,derivative,k-NN,66.15,65.84,66.15,64.84
